Recibe informacion sobre procedimientos tecnicos de Comision Regulatoria,Collaboration
Recibe informacion y contactos,Collaboration
Cabildeo,Management
Gestora de denuncias (ej poda de arboles cascajo descarga a canales materiales toxicos deshuesaderos a la orilla),Management
Informacion y contactos,Networking
Gestora (ej participantes en Feria del Libro),Management
La conecta con informantes clave de gobierno,Networking
Recibe informacion de dictamenes de desarrollo urbano,Collaboration
Contacto con lideres de Asentamientos Humanos Irregluares,Networking
Ayuda a dar puesto con base a sus amigos,Networking
Ayuda a bajar dinero para AHI,Funding
Alimenta Facebook con informacion de AHI,Outreach
Organiza y asesora reuniones  informales (actos politicos),Outreach
Es vocera,Outreach
Exchange of information,Collaboration
Compra plantas de ornato para negocio familiar,Market
Apoya en cabildeo con Delegacion Xochimilco,Management
Intermediacion con poblacion local,Networking
Recibe apoyo puntual (ej participacion en Feria del Libro),Collaboration
Apoya en gestion (ej Faro de Xochimilco) y canalizacion de contactos,Management
Asesoria desarrollo urbano y entrevistas,Consultancy
Intercambian informacion de cambios de uso de suelo y noticias relevantes,Collaboration
Elaboracion conjunta de proyecto de mitigacion (ej muerdago),Collaboration
Cabildeo especifico en participacion ciudadana (ej Verificentro),Management
Participacion en proyectos,Collaboration
Platicas informales (corte activista) sobre recuperacion Xochimiclo,Outreach
Colaboracion asesoria en taller (caminata participativa),Collaboration
Atiende solicitudes de proyectos,Research
Solicitud de informacion Implementacion proyecto (ej mercados sostenibles),Consultancy
Apoya en difusion de proyectos,Outreach
Informar y responder sobre actividades del proyecto,Outreach
Planeacion e intercambio de conocimiento (socio estrategico),Collaboration
Colaboracion en venta,Collaboration
Promocion,Outreach
Design and development of image and publicity,Outreach
Venta de productos gourmet en galeria,Market
Colaboracion en talleres de formacion para personas en situacion de riesgo,Collaboration
Networking,Networking
Colaboraciones en exposiciones,Collaboration
Recibe patrocinio de galeria,Funding
Presta casa para galeria,Collaboration
Vinculacion con proyectos fuertes (relaciones publicas internacionales),Networking
Recibe asesoria y revision de obra,Consultancy
Vinculacion de Xochimilco con arte contemporaneo,Culture
Exposiciones,Culture
Consultor sobre curaduria de artistas para revista,Culture
Asesoria para revista de difusion,Outreach
Colaboraciones en proyectos de fotos (eventos blog turismo ecologico sin exotizar),Collaboration
Desarrollo de coleccion conjunta,Culture
